2026-04-19 21:21:19,684 - INFO - code000001.SZ,dateBegin:1994-06-11 00:00:00,buyPrice:2.7,endDate:20010730,endPrice:2.53.result:lose
2026-04-19 21:21:20,074 - INFO - code000002.SZ,dateBegin:1991-03-09 00:00:00,buyPrice:0.74,endDate:20010730,endPrice:0.7.result:lose
2026-04-19 21:21:20,235 - INFO - code000004.SZ,dateBegin:2025-06-03 00:00:00,buyPrice:10.58,endDate:20250605,endPrice:9.86.result:lose
2026-04-19 21:21:20,594 - INFO - code000006.SZ,dateBegin:2002-05-22 00:00:00,buyPrice:1.09,endDate:20020603,endPrice:1.03.result:lose
2026-04-19 21:21:20,837 - INFO - code:000007.SZ,dateBegin:2015-02-07 00:00:00,buyPrice:8.4,endDate:20150306,endPrice:9.56.result:win
2026-04-19 21:21:21,089 - INFO - code000008.SZ,dateBegin:2015-08-23 00:00:00,buyPrice:7.23,endDate:20150825,endPrice:6.47.result:lose
2026-04-19 21:21:21,295 - INFO - code:000009.SZ,dateBegin:2020-12-16 00:00:00,buyPrice:6.8,endDate:20201221,endPrice:7.5.result:win
2026-04-19 21:21:21,810 - INFO - code000010.SZ,dateBegin:1997-05-05 00:00:00,buyPrice:3.79,endDate:20010730,endPrice:3.44.result:lose
2026-04-19 21:21:22,244 - INFO - code:000011.SZ,dateBegin:2006-11-26 00:00:00,buyPrice:2.47,endDate:20061228,endPrice:2.81.result:win
2026-04-19 21:21:22,638 - INFO - code:000012.SZ,dateBegin:2001-11-09 00:00:00,buyPrice:1.62,endDate:20011119,endPrice:1.81.result:win
2026-04-19 21:21:22,976 - INFO - code000014.SZ,dateBegin:2012-03-14 00:00:00,buyPrice:4.63,endDate:20120315,endPrice:4.34.result:lose
2026-04-19 21:21:23,303 - INFO - code:000016.SZ,dateBegin:2008-11-11 00:00:00,buyPrice:1.36,endDate:20081114,endPrice:1.54.result:win
2026-04-19 21:21:23,634 - INFO - code000017.SZ,dateBegin:2004-11-26 00:00:00,buyPrice:3.33,endDate:20041209,endPrice:3.1.result:lose
2026-04-19 21:21:23,926 - INFO - code:000019.SZ,dateBegin:2009-06-02 00:00:00,buyPrice:3.36,endDate:20090709,endPrice:3.7.result:win
2026-04-19 21:21:24,279 - INFO - code000020.SZ,dateBegin:2008-03-08 00:00:00,buyPrice:7.12,endDate:20080317,endPrice:6.65.result:lose
